reward,average reward,10 episode average reward,score,average score,10 episode average score
-1515,-1334.710843373494,-1444.0,23,15.879518072289157,24.4
-1612,-1338.0119047619048,-1455.7,15,15.869047619047619,23.6
-1198,-1336.3647058823528,-1466.2,35,16.094117647058823,23.4
-586,-1327.639534883721,-1399.6,19,16.127906976744185,22.0
-316,-1316.0114942528735,-1292.6,29,16.275862068965516,22.1
-1650,-1319.8068181818182,-1285.8,14,16.25,22.1
-1196,-1318.4157303370787,-1251.6,34,16.44943820224719,23.6
-1415,-1319.4888888888888,-1240.5,25,16.544444444444444,24.2
-1732,-1324.021978021978,-1271.5,11,16.483516483516482,22.6
-1253,-1323.25,-1247.3,31,16.641304347826086,23.6
-1447,-1324.5806451612902,-1240.5,26,16.741935483870968,23.9
-1572,-1327.212765957447,-1236.5,19,16.76595744680851,24.3
-1743,-1331.5894736842106,-1291.0,13,16.726315789473684,22.1
-1725,-1335.6875,-1404.9,12,16.677083333333332,21.4
-1361,-1335.9484536082475,-1509.4,29,16.804123711340207,21.4
-1558,-1338.2142857142858,-1500.2,19,16.8265306122449,21.9
-1489,-1339.7373737373737,-1529.5,23,16.88888888888889,20.8
-1335,-1339.69,-1521.5,30,17.02,21.3
-610,-1332.4653465346535,-1409.3,17,17.019801980198018,21.9
-1291,-1332.0588235294117,-1413.1,27,17.11764705882353,21.5
-1457,-1333.2718446601941,-1414.1,23,17.174757281553397,21.2
-1443,-1334.326923076923,-1401.2,25,17.25,21.8
-1678,-1337.6,-1394.7,14,17.21904761904762,21.9
-1298,-1337.2264150943397,-1352.0,27,17.31132075471698,23.4
-1275,-1336.6448598130842,-1343.4,33,17.457943925233646,23.8
-1325,-1336.537037037037,-1320.1,30,17.574074074074073,24.9
-896,-1332.4954128440368,-1260.8,4,17.44954128440367,23.0
-1602,-1334.9454545454546,-1287.5,18,17.454545454545453,21.8
-1274,-1334.3963963963963,-1353.9,32,17.585585585585587,23.3
-1224,-1333.4107142857142,-1347.2,34,17.732142857142858,24.0
-1369,-1333.725663716814,-1338.4,29,17.831858407079647,24.6
-1009,-1330.877192982456,-1295.0,45,18.07017543859649,26.6
-1679,-1333.904347826087,-1295.1,15,18.043478260869566,26.7
-1726,-1337.2844827586207,-1337.9,12,17.99137931034483,25.2
-1511,-1338.7692307692307,-1361.5,22,18.025641025641026,24.1
-1613,-1341.093220338983,-1390.3,18,18.02542372881356,22.9
-1033,-1338.5042016806722,-1404.0,39,18.201680672268907,26.4
-1468,-1339.5833333333333,-1390.6,23,18.241666666666667,26.9
-1377,-1339.892561983471,-1400.9,23,18.28099173553719,26.0
-1336,-1339.860655737705,-1412.1,27,18.352459016393443,25.3
-631,-1334.0975609756097,-1338.3,15,18.32520325203252,23.9
-1395,-1334.5887096774193,-1376.9,24,18.370967741935484,21.8
-1551,-1336.32,-1364.1,16,18.352,21.9
-1424,-1337.015873015873,-1333.9,24,18.396825396825395,23.1
-1524,-1338.4881889763778,-1335.2,20,18.409448818897637,22.9
-1660,-1341.0,-1339.9,16,18.390625,22.7
-1549,-1342.6124031007753,-1391.5,17,18.37984496124031,20.5
-1378,-1342.8846153846155,-1382.5,24,18.423076923076923,20.6
-1553,-1344.4885496183206,-1400.1,19,18.427480916030536,20.2
-1606,-1346.469696969697,-1427.1,18,18.424242424242426,19.3
-1689,-1349.045112781955,-1532.9,14,18.39097744360902,19.2
-1359,-1349.1194029850747,-1529.3,27,18.455223880597014,19.5
-1390,-1349.4222222222222,-1513.2,26,18.511111111111113,20.5
-852,-1345.764705882353,-1456.0,6,18.419117647058822,18.7
-1542,-1347.197080291971,-1457.8,21,18.437956204379564,18.8
-309,-1339.6739130434783,-1322.7,29,18.514492753623188,20.1
-1601,-1341.5539568345323,-1327.9,17,18.503597122302157,20.1
-1694,-1344.0714285714287,-1359.5,13,18.464285714285715,19.0
-1449,-1344.8156028368794,-1349.1,24,18.50354609929078,19.5
-1717,-1347.4366197183099,-1360.2,11,18.450704225352112,18.8
-1582,-1349.076923076923,-1349.5,18,18.447552447552447,19.2
-1454,-1349.8055555555557,-1359.0,23,18.479166666666668,18.8
-1310,-1349.5310344827585,-1351.0,25,18.52413793103448,18.7
-1171,-1348.3082191780823,-1382.9,33,18.623287671232877,21.4
-1122,-1346.7687074829932,-1340.9,36,18.741496598639454,22.9
-1554,-1348.168918918919,-1465.4,21,18.756756756756758,22.1
-1288,-1347.765100671141,-1434.1,33,18.85234899328859,23.7
-1608,-1349.5,-1425.5,20,18.86,24.4
