reward,average reward,10 episode average reward,score,average score,10 episode average score
307,176.94326241134752,257.0,18,14.74468085106383,19.3
147,176.73239436619718,235.4,11,14.71830985915493,17.9
86,176.0979020979021,208.5,8,14.671328671328672,16.2
288,176.875,237.3,18,14.694444444444445,17.3
595,179.75862068965517,262.7,32,14.813793103448276,18.3
299,180.57534246575344,248.7,22,14.863013698630137,17.8
66,179.79591836734693,235.9,5,14.795918367346939,16.6
-43,178.29054054054055,230.6,6,14.736486486486486,16.1
106,177.80536912751677,235.1,15,14.738255033557047,16.4
461,179.69333333333333,231.2,26,14.813333333333333,16.1
