reward,average reward,10 episode average reward,score,average score,10 episode average score
346,-40.71153846153846,79.1,21,2.9038461538461537,8.1
-75,-41.03809523809524,66.2,1,2.8857142857142857,7.4
-87,-41.471698113207545,59.1,1,2.8679245283018866,7.1
-39,-41.44859813084112,55.7,3,2.869158878504673,6.9
-86,-41.861111111111114,42.9,1,2.8518518518518516,6.3
110,-40.46788990825688,61.2,9,2.908256880733945,7.1
103,-39.163636363636364,80.8,10,2.9727272727272727,8.0
-81,-39.54054054054054,28.3,1,2.954954954954955,6.0
201,-37.392857142857146,34.5,13,3.044642857142857,6.2
114,-36.05309734513274,50.6,10,3.106194690265487,7.0
-107,-36.675438596491226,5.3,0,3.0789473684210527,4.9
-72,-36.982608695652175,5.6,2,3.0695652173913044,5.0
50,-36.23275862068966,19.3,6,3.0948275862068964,5.5
-79,-36.598290598290596,15.3,1,3.076923076923077,5.3
-20,-36.45762711864407,21.9,4,3.0847457627118646,5.6
-56,-36.621848739495796,5.3,3,3.0840336134453783,5.0
-60,-36.81666666666667,-11.0,2,3.075,4.2
-67,-37.06611570247934,-9.6,1,3.0578512396694215,4.2
83,-36.08196721311475,-21.4,7,3.0901639344262297,3.6
-57,-36.2520325203252,-38.5,3,3.089430894308943,2.9
79,-35.32258064516129,-19.9,9,3.1370967741935485,3.8
100,-34.24,-2.7,10,3.192,4.6
-87,-34.65873015873016,-16.4,1,3.1746031746031744,4.1
-70,-34.93700787401575,-15.5,2,3.1653543307086616,4.2
-87,-35.34375,-22.2,1,3.1484375,3.9
0,-35.06976744186046,-16.6,6,3.1705426356589146,4.2
-53,-35.207692307692305,-15.9,3,3.169230769230769,4.3
-79,-35.541984732824424,-17.1,3,3.16793893129771,4.5
-42,-35.59090909090909,-29.6,2,3.159090909090909,4.0
123,-34.3984962406015,-11.6,9,3.2030075187969924,4.6
-29,-34.35820895522388,-22.4,3,3.201492537313433,4.0
-85,-34.733333333333334,-40.9,1,3.185185185185185,3.1
-59,-34.911764705882355,-38.1,1,3.1691176470588234,3.1
-79,-35.23357664233577,-39.0,1,3.153284671532847,3.0
-83,-35.57971014492754,-38.6,1,3.13768115942029,3.0
-75,-35.86330935251799,-46.1,1,3.1223021582733814,2.5
75,-35.07142857142857,-33.3,9,3.164285714285714,3.1
-77,-35.36879432624114,-33.1,1,3.148936170212766,2.9
-18,-35.24647887323944,-30.7,2,3.140845070422535,2.9
-66,-35.46153846153846,-49.6,2,3.132867132867133,2.2
-57,-35.611111111111114,-52.4,3,3.1319444444444446,2.2
-80,-35.91724137931035,-51.9,2,3.1241379310344826,2.3
-80,-36.21917808219178,-54.0,1,3.1095890410958904,2.3
-89,-36.57823129251701,-55.0,1,3.0952380952380953,2.3
338,-34.0472972972973,-12.9,24,3.2364864864864864,4.6
-72,-34.30201342281879,-12.6,1,3.221476510067114,4.6
61,-33.666666666666664,-14.0,8,3.2533333333333334,4.5
