reward,average reward,10 episode average reward,score,average score,10 episode average score
258,277.9848484848485,372.0,17,16.151515151515152,20.6
292,278.1940298507463,341.0,17,16.16417910447761,19.3
-81,272.9117647058824,303.7,2,15.955882352941176,17.8
378,274.4347826086956,336.9,22,16.043478260869566,19.2
429,276.64285714285717,303.3,24,16.15714285714286,17.6
449,279.07042253521126,341.0,22,16.239436619718308,19.2
5,275.2638888888889,264.7,5,16.083333333333332,16.2
343,276.1917808219178,256.3,21,16.15068493150685,16.2
795,283.2027027027027,310.7,35,16.405405405405407,18.0
208,282.2,307.6,14,16.373333333333335,17.9
498,285.0394736842105,331.6,26,16.5,18.8
552,288.5064935064935,357.6,29,16.662337662337663,20.0
441,290.46153846153845,409.8,23,16.743589743589745,22.1
427,292.1898734177215,414.7,23,16.82278481012658,22.2
539,295.275,425.7,29,16.975,22.7
-52,290.98765432098764,375.6,2,16.790123456790123,20.7
789,297.0609756097561,454.0,39,17.0609756097561,24.1
315,297.27710843373495,451.2,18,17.072289156626507,23.8
433,298.89285714285717,415.0,21,17.11904761904762,22.4
290,298.78823529411767,423.2,17,17.11764705882353,22.7
347,299.3488372093023,408.1,18,17.127906976744185,21.9
570,302.4597701149425,409.9,31,17.28735632183908,22.1
706,307.04545454545456,436.4,33,17.46590909090909,23.1
342,307.438202247191,427.9,17,17.46067415730337,22.5
122,305.3777777777778,386.2,8,17.355555555555554,20.4
366,306.04395604395603,428.0,19,17.373626373626372,22.1
258,305.5217391304348,374.9,18,17.380434782608695,20.0
483,307.4301075268817,391.7,27,17.483870967741936,20.9
179,306.06382978723406,366.3,12,17.425531914893618,20.0
268,305.66315789473686,364.1,16,17.410526315789475,19.9
335,305.96875,362.9,21,17.447916666666668,20.2
641,309.4226804123711,370.0,30,17.577319587628867,20.1
245,308.765306122449,323.9,16,17.56122448979592,18.4
336,309.04040404040404,323.3,17,17.555555555555557,18.4
402,309.97,351.3,24,17.62,20.0
204,308.9207920792079,335.1,14,17.584158415841586,19.5
438,310.1862745098039,353.1,23,17.637254901960784,20.0
41,307.5728155339806,308.9,6,17.524271844660195,17.9
745,311.77884615384613,365.5,38,17.721153846153847,20.5
575,314.2857142857143,396.2,29,17.82857142857143,21.8
516,316.188679245283,414.3,24,17.88679245283019,22.1
304,316.0747663551402,380.6,19,17.897196261682243,21.0
294,315.8703703703704,385.5,20,17.916666666666668,21.4
513,317.6788990825688,403.2,28,18.009174311926607,22.5
410,318.5181818181818,404.0,22,18.045454545454547,22.3
209,317.5315315315315,404.5,13,18.0,22.2
448,318.69642857142856,405.5,23,18.044642857142858,22.2
437,319.7433628318584,445.1,24,18.097345132743364,24.0
418,320.60526315789474,412.4,22,18.13157894736842,22.4
381,321.1304347826087,393.0,21,18.156521739130437,21.6
421,321.9913793103448,383.5,24,18.20689655172414,21.6
184,320.8119658119658,371.5,15,18.17948717948718,21.2
196,319.7542372881356,361.7,12,18.127118644067796,20.4
355,320.0504201680672,345.9,17,18.11764705882353,19.3
480,321.3833333333333,352.9,24,18.166666666666668,19.5
691,324.43801652892563,401.1,32,18.28099173553719,21.4
444,325.41803278688525,400.7,24,18.327868852459016,21.5
58,323.2439024390244,362.8,7,18.235772357723576,19.8
358,323.5241935483871,356.8,20,18.25,19.6
289,323.248,347.6,16,18.232,19.1
152,321.8888888888889,320.7,13,18.19047619047619,18.0
492,323.2283464566929,351.5,25,18.244094488188978,19.0
269,322.8046875,358.8,16,18.2265625,19.4
702,325.74418604651163,393.5,30,18.31782945736434,20.7
249,325.15384615384613,370.4,16,18.3,19.9
857,329.21374045801525,387.0,39,18.458015267175572,20.6
386,329.6439393939394,381.2,20,18.46969696969697,20.2
328,329.63157894736844,408.2,21,18.48872180451128,21.6
238,328.94776119402985,396.2,14,18.455223880597014,21.0
439,329.76296296296294,411.2,23,18.488888888888887,21.7
511,331.09558823529414,447.1,26,18.544117647058822,23.0
335,331.1240875912409,431.4,20,18.554744525547445,22.5
655,333.4710144927536,470.0,34,18.666666666666668,24.3
113,331.8848920863309,411.1,9,18.597122302158272,22.2
398,332.35714285714283,426.0,19,18.6,22.5
504,333.5744680851064,390.7,24,18.638297872340427,21.0
3,331.2464788732394,352.4,6,18.549295774647888,19.6
278,330.87412587412587,347.4,17,18.53846153846154,19.2
780,333.99305555555554,401.6,38,18.67361111111111,21.6
127,332.5655172413793,370.4,10,18.613793103448277,20.3
259,332.06164383561645,345.2,16,18.595890410958905,19.3
5,329.83673469387753,312.2,6,18.510204081632654,17.9
300,329.63513513513516,276.7,17,18.5,16.2
731,332.3288590604027,338.5,35,18.610738255033556,18.8
35,330.3466666666667,302.2,5,18.52,17.4
